,vehicle_ID,stop_name,no_of_violations,most_common_violation
0,d112ff6d21585805a82d83bc1c1ca7bbc929b14975139b618ff4a448352fe728,2 AV/E 23 ST,52511,MOBILE DOUBLE PARKED
1,e137f6edc0871367285c7a0cdc5689efe59c8645043899d5c2065c2e8ffe918a,WEBSTER AV/E 180 ST,34387,MOBILE DOUBLE PARKED
2,dc9ce6111adbe0d2eb528d31ce3c36fb97659c96ab5f8abbba26081fbc7cbbc2,W 207 ST/10 AV,32318,MOBILE DOUBLE PARKED
3,af9dc5f66d45b301de9ee4e31208965954c4fb222bb44785a550078a82b8915c,2 AV/E 78 ST,31256,MOBILE DOUBLE PARKED
4,9cb4e04ba7eb3072f13d67f85e2e7103967f5672d7809360b6306e00577e2702,BROADWAY/ISHAM ST,30036,MOBILE DOUBLE PARKED
5,417e398bb3aa15f587e264c76c65ecceafb9c0502e23e0153fa8be0690fddd06,1 AV/E 67 ST,29631,MOBILE DOUBLE PARKED
6,0ba10da101a642e114d354798fbb09f4dd40918cca7403180e5a338462c26e34,UTICA AV/CHURCH AV,29271,MOBILE DOUBLE PARKED
7,8b2b014569f5cee2c299002e65b542ef559c4b1e24c81767b2272e31e807c72e,WEBSTER AV/BEDFORD PARK BLVD,27315,MOBILE DOUBLE PARKED
8,364fd68006b9c56229a5ff641d6208790e787b7a7cd152e567895b2a20214e4e,2 AV/E 125 ST,26633,MOBILE DOUBLE PARKED
9,fd86d2b1daeb734fec35f277de428ed8ba5f0c88b9ffa44d5248313c4109f409,WEBSTER AV/E 170 ST,23587,MOBILE DOUBLE PARKED
10,eaf493687e86ac278d13088009ef528daf3367e575e319a97b0526ea4ac419b8,NOSTRAND AV/NEWKIRK AV,23153,MOBILE DOUBLE PARKED
11,d43c52547efe15f6080729d7541ff1d1c38833bb5cc0fd5838883bb6563b9696,1 AV/E 57 ST,23127,MOBILE DOUBLE PARKED
12,cb6e25201f4f83e41829e9aa0ebb0fe3e64518e909463f633cd30155df72da2f,WEBSTER AV/E 204 ST,20951,MOBILE DOUBLE PARKED
13,fe9978b5d27d1b0c51351af4ac0ec3ddd355cc6c279563bebde332fa3b874b81,SUTPHIN BLVD/HILLSIDE AV,20910,MOBILE DOUBLE PARKED
14,86bce24d909cdc7b569df68b22e01c693b291c20534a272b9714580502acd619,UTICA AV/WINTHROP ST,20467,MOBILE DOUBLE PARKED
15,b998289912dbd5e5a478bd29f11c63c472ca445ada057114469ce9e056d94288,E 14 ST/1 AV,20297,MOBILE DOUBLE PARKED
16,94c1b81e378267b0b513bb6332f8b6779382825fef385a390222bcb3738c4766,2 AV/E 86 ST,19527,MOBILE DOUBLE PARKED
17,b232c7bb367417f6a45d1be46cd3c02d71e54d61d9d5e64f526e147515a6dca7,WEBSTER AV/E 167 ST,19079,MOBILE DOUBLE PARKED
