,stop_name,non_exempt_ticket_count
0,WEBSTER AV/E 180 ST,30537
1,W 207 ST/10 AV,30067
2,BROADWAY/ISHAM ST,27303
3,UTICA AV/CHURCH AV,27111
4,2 AV/E 78 ST,25682
5,1 AV/E 67 ST,25176
6,2 AV/E 23 ST,20662
7,NOSTRAND AV/NEWKIRK AV,19948
8,1 AV/E 57 ST,19135
9,2 AV/E 125 ST,18896
10,UTICA AV/WINTHROP ST,18419
11,SUTPHIN BLVD/HILLSIDE AV,17838
12,WEBSTER AV/E 170 ST,16946
13,E 14 ST/1 AV,16453
14,2 AV/E 86 ST,16208
15,WEBSTER AV/E 204 ST,15865
16,WEBSTER AV/BEDFORD PK BL,15861
17,W 125 ST/SAINT NICHOLAS AV,15850
18,WEBSTER AV/E 167 ST,15527
19,E FORDHAM RD/VALENTINE AV,15106
20,W 145 ST/ADAM C POWELL BLVD,14537
21,SOUTHERN BLVD/ALDUS ST,14324
22,WEBSTER AV/BEDFORD PARK BLVD,14233
23,SOUTHERN BLVD/WESTCHESTER AV,13771
24,W 125 ST/MALCOLM X  BLVD,13749
25,E 149 ST/COURTLANDT AV,13491
26,SOUTHERN BLVD/E 167 ST,12685
27,WADSWORTH AV/W 181 ST,12322
28,WHITE PLAINS RD/WESTCHESTER AV,12187
29,SOUTHERN BLVD/AVENUE SAINT JOHN,11718
30,SOUTHERN BLVD/FREEMAN ST,11639
31,MAIN ST/ELDER AV,11406
32,1 AV/E 106 ST,11325
33,E 149 ST/MORRIS AV,11260
34,BEDFORD AV/LAFAYETTE AV,11189
35,MADISON ST/CATHERINE ST,11179
36,2 AV/E 96 ST,11069
37,UTICA AV/AV D,10992
38,W 145 ST/AMSTERDAM AV,10784
39,1 AV/E 1 ST,10594
40,2 AV/E 106 ST,10412
41,2 AV/E 115 ST,10202
42,2 AV/E 13 ST,9995
43,E 163 ST/3 AV,9832
44,EAST TREMONT AV/PROSPECT AV,9812
45,EAST FORDHAM RD/VALENTINE AV,9580
46,SOUTHERN BLVD/E 149 ST,9365
47,SOUTHERN BLVD/E 156 ST,9219
48,E 149 ST/WALES AV,9215
49,AMSTERDAM AV/W 161 ST,9018
50,W 145 ST/FREDERICK DOUGLASS BLVD,8948
51,E FORDHAM RD/ JEROME AV,8820
52,WHITE PLAINS RD/ARCHER ST,8806
53,2 AV/E 68 ST,8800
54,EAST TREMONT AV/CROTONA AV,8793
55,UTICA AV/AV H,8792
56,AMSTERDAM AV/W 158 ST,8751
57,NOSTRAND AV/AVENUE L,8693
58,WEBSTER AV/CLAREMONT PKWY,8686
59,W 125 ST/FREDERICK DOUGLASS BLVD,8680
60,W 125 ST/MALCOLM X BLVD,8563
61,W FORDHAM RD/UNIVERSITY AV,8508
62,MALCOLM X BL/FULTON ST,8391
63,UTICA AV/AVENUE D,8370
64,E 14 ST/2 AV,8321
65,WEST FORDHAM RD/CEDAR AV,8212
66,WEBSTER AV/EAST FORDHAM RD,8189
67,W 145 ST/SAINT NICHOLAS AV,8183
68,SOUTHERN BLVD/HUNTS POINT AV,8130
69,WEBSTER AV/E FORDHAM RD,8082
70,W 125 ST/ADAM C POWELL BLVD,8034
71,MAIN ST/41 AV,7979
72,PEARL ST/BEEKMAN ST,7958
73,SOUTHERN BLVD/TIFFANY ST,7902
74,FLATBUSH AV/NOSTRAND AV,7808
75,NOSTRAND AV/AVENUE R,7771
76,UTICA AV/AVENUE H,7725
77,W 178 ST/FORT WASHINGTON AV,7642
78,UTICA AV/FLATLANDS AV,7476
79,KINGS HWY/E 16 ST,7470
80,1 AV/MITCHELL PL,7454
81,4 AV/86 ST,7250
82,3 AV/148 ST,7140
83,UTICA AV/EASTERN PKWY,7085
84,WEST FORDHAM RD/UNIVERSITY AV,7067
85,E 161 ST/SHERMAN AV,7060
86,E 161 ST/MELROSE AV,6962
87,SOUTHERN BLVD/JENNINGS ST,6961
88,EAST TREMONT AV/GRAND CONCOURSE EAST,6961
89,MELROSE AV/E 160 ST,6945
90,BAY PKWY/BATH AV,6939
91,KINGS HWY/CONEY ISLAND AV,6916
